"","Value1","Value2","Set"
"1",10,56.2341325190349,252
"2",10,38.3118684955729,252
"3",12.1152765862859,26.1015721568254,252
"4",12.1152765862859,31.6227766016838,252
"5",14.6779926762207,21.5443469003188,252
"6",14.6779926762207,26.1015721568254,252
"7",17.7827941003892,21.5443469003188,252
"8",17.7827941003892,38.3118684955729,252
"9",31.6227766016838,46.4158883361278,252
"10",46.4158883361278,56.2341325190349,252
"11",10,56.2341325190349,251
"12",10,38.3118684955729,251
"13",12.1152765862859,26.1015721568254,251
"14",12.1152765862859,31.6227766016838,251
"15",14.6779926762207,17.7827941003892,251
"16",14.6779926762207,26.1015721568254,251
"17",17.7827941003892,21.5443469003188,251
"18",21.5443469003188,46.4158883361278,251
"19",31.6227766016838,46.4158883361278,251
"20",38.3118684955729,56.2341325190349,251
"21",10,56.2341325190349,250
"22",10,38.3118684955729,250
"23",12.1152765862859,26.1015721568254,250
"24",12.1152765862859,31.6227766016838,250
"25",14.6779926762207,17.7827941003892,250
"26",14.6779926762207,21.5443469003188,250
"27",17.7827941003892,38.3118684955729,250
"28",21.5443469003188,31.6227766016838,250
"29",26.1015721568254,46.4158883361278,250
"30",46.4158883361278,56.2341325190349,250
"31",10,56.2341325190349,249
"32",10,38.3118684955729,249
"33",12.1152765862859,26.1015721568254,249
"34",12.1152765862859,31.6227766016838,249
"35",14.6779926762207,17.7827941003892,249
"36",14.6779926762207,21.5443469003188,249
"37",17.7827941003892,31.6227766016838,249
"38",21.5443469003188,46.4158883361278,249
"39",26.1015721568254,38.3118684955729,249
"40",46.4158883361278,56.2341325190349,249
"41",10,56.2341325190349,248
"42",10,38.3118684955729,248
"43",12.1152765862859,26.1015721568254,248
"44",12.1152765862859,31.6227766016838,248
"45",14.6779926762207,17.7827941003892,248
"46",14.6779926762207,21.5443469003188,248
"47",17.7827941003892,26.1015721568254,248
"48",21.5443469003188,46.4158883361278,248
"49",31.6227766016838,56.2341325190349,248
"50",38.3118684955729,46.4158883361278,248
"51",10,56.2341325190349,247
"52",10,38.3118684955729,247
"53",12.1152765862859,21.5443469003188,247
"54",12.1152765862859,31.6227766016838,247
"55",14.6779926762207,17.7827941003892,247
