"kit","file","color"
1,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
1,"data/pilot/Set85/id-05/Type1-Rep01","blue"
1,"data/pilot/Set85/id-02/Type3-Rep01","green"
1,"data/pilot/Set85/id-03/Type3-Rep01","red"
1,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
2,"data/pilot/Set85/id-04/Type3-Rep01","yellow"
2,"data/pilot/Set85/id-05/Type1-Rep01","blue"
2,"data/pilot/Set85/id-09/Type3-Rep01","purple"
2,"data/pilot/Set85/id-02/Type1-Rep01","green"
2,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
3,"data/pilot/Set85/id-05/Type3-Rep01","blue"
3,"data/pilot/Set85/id-09/Type1-Rep01","purple"
3,"data/pilot/Set85/id-02/Type3-Rep01","green"
3,"data/pilot/Set85/id-03/Type3-Rep01","red"
3,"data/pilot/Set85/id-06/Type1-Rep01","orange"
4,"data/pilot/Set85/id-05/Type3-Rep01","blue"
4,"data/pilot/Set85/id-09/Type3-Rep01","purple"
4,"data/pilot/Set85/id-02/Type3-Rep01","green"
4,"data/pilot/Set85/id-06/Type3-Rep01","orange"
4,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
5,"data/pilot/Set85/id-04/Type3-Rep01","yellow"
5,"data/pilot/Set85/id-09/Type1-Rep01","purple"
5,"data/pilot/Set85/id-02/Type1-Rep01","green"
5,"data/pilot/Set85/id-03/Type1-Rep01","red"
5,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
6,"data/pilot/Set85/id-09/Type1-Rep01","purple"
6,"data/pilot/Set85/id-02/Type3-Rep01","green"
6,"data/pilot/Set85/id-03/Type1-Rep01","red"
6,"data/pilot/Set85/id-06/Type3-Rep01","orange"
6,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
7,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
7,"data/pilot/Set85/id-05/Type1-Rep01","blue"
7,"data/pilot/Set85/id-03/Type1-Rep01","red"
7,"data/pilot/Set85/id-06/Type3-Rep01","orange"
7,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
8,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
8,"data/pilot/Set85/id-09/Type1-Rep01","purple"
8,"data/pilot/Set85/id-03/Type1-Rep01","red"
8,"data/pilot/Set85/id-06/Type1-Rep01","orange"
8,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
9,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
9,"data/pilot/Set85/id-05/Type1-Rep01","blue"
9,"data/pilot/Set85/id-09/Type1-Rep01","purple"
9,"data/pilot/Set85/id-03/Type3-Rep01","red"
9,"data/pilot/Set85/id-06/Type1-Rep01","orange"
10,"data/pilot/Set85/id-04/Type3-Rep01","yellow"
10,"data/pilot/Set85/id-05/Type3-Rep01","blue"
10,"data/pilot/Set85/id-09/Type3-Rep01","purple"
10,"data/pilot/Set85/id-02/Type3-Rep01","green"
10,"data/pilot/Set85/id-06/Type1-Rep01","orange"
11,"data/pilot/Set85/id-04/Type3-Rep01","yellow"
11,"data/pilot/Set85/id-05/Type3-Rep01","blue"
11,"data/pilot/Set85/id-02/Type1-Rep01","green"
11,"data/pilot/Set85/id-06/Type1-Rep01","orange"
11,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
12,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
12,"data/pilot/Set85/id-05/Type3-Rep01","blue"
12,"data/pilot/Set85/id-09/Type1-Rep01","purple"
12,"data/pilot/Set85/id-06/Type1-Rep01","orange"
12,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
13,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
13,"data/pilot/Set85/id-05/Type1-Rep01","blue"
13,"data/pilot/Set85/id-09/Type3-Rep01","purple"
13,"data/pilot/Set85/id-02/Type1-Rep01","green"
13,"data/pilot/Set85/id-03/Type1-Rep01","red"
14,"data/pilot/Set85/id-05/Type3-Rep01","blue"
14,"data/pilot/Set85/id-09/Type3-Rep01","purple"
14,"data/pilot/Set85/id-03/Type3-Rep01","red"
14,"data/pilot/Set85/id-06/Type1-Rep01","orange"
14,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
15,"data/pilot/Set85/id-05/Type3-Rep01","blue"
15,"data/pilot/Set85/id-02/Type1-Rep01","green"
15,"data/pilot/Set85/id-03/Type3-Rep01","red"
15,"data/pilot/Set85/id-06/Type3-Rep01","orange"
15,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
16,"data/pilot/Set85/id-04/Type1-Rep01","yellow"
16,"data/pilot/Set85/id-09/Type3-Rep01","purple"
16,"data/pilot/Set85/id-02/Type3-Rep01","green"
16,"data/pilot/Set85/id-06/Type3-Rep01","orange"
16,"data/pilot/Set85/id-01/Type1-Rep01","cyan"
17,"data/pilot/Set85/id-05/Type1-Rep01","blue"
17,"data/pilot/Set85/id-09/Type3-Rep01","purple"
17,"data/pilot/Set85/id-02/Type3-Rep01","green"
17,"data/pilot/Set85/id-03/Type3-Rep01","red"
17,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
18,"data/pilot/Set85/id-04/Type3-Rep01","yellow"
18,"data/pilot/Set85/id-05/Type1-Rep01","blue"
18,"data/pilot/Set85/id-09/Type1-Rep01","purple"
18,"data/pilot/Set85/id-03/Type1-Rep01","red"
18,"data/pilot/Set85/id-01/Type3-Rep01","cyan"
19,"data/pilot/Set85/id-04/Type3-Rep01","yellow"
19,"data/pilot/Set85/id-05/Type3-Rep01","blue"
19,"data/pilot/Set85/id-02/Type3-Rep01","green"
19,"data/pilot/Set85/id-03/Type3-Rep01","red"
